ALIAS,CLUBNAME,LOC
A.L.R.S.(ST.PETERSBURG),A.L.R.S.(ST.PETERSBURG),OCA
ALABAMA CONTEST GROUP,ALABAMA CONTEST GROUP,OCA
ALABAMA CONTETS GROUP,ALABAMA CONTEST GROUP,OCA
ALBERTA CLIPPERS,ALBERTA CLIPPERS,OCA
ALBUQUERQUE DX ASSOCIATION,ALBUQUERQUE DX ASSOCIATION,OCA
ALLEGHENY VALLEY RADIO ASSOC.,ALLEGHENY VALLEY RADIO ASSOCIATION,OCA
ALLEGHENY VALLEY RADIO ASSOCIATION,ALLEGHENY VALLEY RADIO ASSOCIATION,OCA
AMATEUR RADIO CLUB OF EL CAJON (CA),AMATEUR RADIO CLUB OF EL CAJON CONTESTERS,CA
AMATEUR RADIO CLUB OF EL CAJON CONTESTERS,AMATEUR RADIO CLUB OF EL CAJON CONTESTERS,CA
ANCHOR BAY AMATEUR RADIO CLUB,ANCHOR BAY AMATEUR RADIO CLUB,OCA
ARAUCARIA DX GROUP,ARAUCARIA DX GROUP,OCA
ARIZONA OULTAWS CONTEST CLUB,ARIZONA OUTLAWS CONTEST CLUB,OCA
ARIZONA OUTLAWS,ARIZONA OUTLAWS CONTEST CLUB,OCA
ARIZONA OUTLAWS CONTEST CLUB,ARIZONA OUTLAWS CONTEST CLUB,OCA
ARIZONA OUTLAWS CONTESTS CLUB,ARIZONA OUTLAWS CONTEST CLUB,OCA
ARROW COMMUNICATIONS,ARROW COMMUNICATIONS,OCA
ATLANTA RADIO CLUB,ATLANTA RADIO CLUB,OCA
BAVARIAN CONTEST CLUB,BAVARIAN CONTEST CLUB,OCA
BAVARIAN CONTEST CLUB BCC,BAVARIAN CONTEST CLUB,OCA
BERGEN ARA,BERGEN ARA,OCA
BOEING AMATEUR RADIO CLUB,BOEING AMATEUR RADIO CLUB,OCA
BOEING EMPLOYEES AMATEUR RADIO SOCIETY,BOEING AMATEUR RADIO CLUB,OCA
BOULDER ARC,BOULDER ARC,OCA
BRITISH COLUMBIA DX CLUB,BRITISH COLUMBIA DX CLUB,OCA
BVS EMERGENCY RADIO TEAM,BVS EMERGENCY RADIO TEAM,OCA
CAL POLY AMATEUR RADIO CLUB,CAL POLY AMATEUR RADIO CLUB,CA
CALGARY AMATEUR RADIO ASSOCIATION,CALGARY AMATEUR RADIO ASSOCIATION,OCA
CALGARY DX CLUB,CALGARY DX CLUB,OCA
CALIFORNIA DEPARTMENT OF JUSTICE ARC,CALIFORNIA DEPARTMENT OF JUSTICE ARC,CA
CALTECH AMATEUR RADIO CLUB,CALTECH AMATEUR RADIO CLUB,CA
CAROLINA DX ASSOCIATION,CAROLINA DX ASSOCIATION,OCA
CCF,CONTEST CLUB FINLAND,OCA
CCO,CONTEST CLUB ONTARIO,OCA
CENTRAL CALIF. ELITE CONTESTERS,CENTRAL CALIFORNIA ELITE CONTESTERS,CA
CENTRAL CALIFORNIA ELITE CONTESTERS,CENTRAL CALIFORNIA ELITE CONTESTERS,CA
CENTRAL OREGON CONTEST CLUB,CENTRAL OREGON CONTEST CLUB,OCA
CENTRAL OREGON DX CLUB,CENTRAL OREGON DX CLUB,OCA
CENTRAL TEXAS DX AND CONTEST CLUB,CENTRAL TEXAS DX AND CONTEST CLUB,OCA
CENTRAL VIRGINIA CONTEST CLUB,CENTRAL VIRGINIA CONTEST CLUB,OCA
CHIPPEWA VALLEY VHF CONTESTERS,CHIPPEWA VALLEY VHF CONTESTERS,OCA
CLARK COUNTY AMATEUR RADIO CLUB,CLARK COUNTY AMATEUR RADIO CLUB,OCA
CODXC,CODXC,OCA
COLORADO QRP CLUB,COLORADO QRP CLUB,OCA
COMSTOCK ARA,COMSTOCK ARA,OCA
CONTEST CLUB OF ONTARIO,CONTEST CLUB ONTARIO,OCA
CONTEST CLUB ONTARIO,CONTEST CLUB ONTARIO,OCA
CONTEST CLUB ONTARIO (CCO),CONTEST CLUB ONTARIO,OCA
CONTEST GROUP DU QUEBEC,CONTEST GROUP DU QUEBEC,OCA
CORBEIL CONTEST CLUB,CORBEIL CONTEST CLUB,OCA
CROATIAN CONTEST CLUB,CROATIAN CONTEST CLUB,OCA
CTRI CONTEST GROUP,CTRI CONTEST GROUP,OCA
CVCC,CENTRAL VIRGINIA CONTEST CLUB,OCA
CZECH CONTEST CLUB,CZECH CONTEST CLUB,OCA
DARC,DARC,OCA
DARC-Q06,DARC-Q06,OCA
DAVIESS COUNTY ARC,DAVIESS COUNTY ARC,OCA
DELARA CONTEST TEAM,DELARE AMATEUR RADIO ASSOCIATION,OCA
DELARE AMATEUR RADIO ASSOCIATION,DELARE AMATEUR RADIO ASSOCIATION,OCA
DERBY CITY DX ASSOCIATION,DERBY CITY DX ASSOCIATION,OCA
DFW CONTEST GROUP,DFW CONTEST GROUP,OCA
DIAL RADIO CLUB,DIAL RADIO CLUB,OCA
DOWNEY AMATEUR RADIO CLUB,DOWNEY AMATEUR RADIO CLUB,OCA
EAST BAY CONTESTING GROUP,EAST BAY CONTESTING GROUP,CA
EASTSIDE CONTEST GROUP,EASTSIDE CONTEST GROUP,OCA
EDMOND AMATEUR RADIO CLUB,EDMOND AMATEUR RADIO CLUB,OCA
ESCONDIDO AMATEUR RADIO SOCIETY,ESCONDIDO AMATEUR RADIO SOCIETY,CA
EVERTON AM RADIO CLUB,EVERTON AM RADIO CLUB,OCA
"FARS, K6YA",FOOTHILL AMATEUR RADIO SOCIETY,CA
FOOTHILL AMATEUR RADIO SOCIETY,FOOTHILL AMATEUR RADIO SOCIETY,CA
FAUQUIER ARA,FAUQUIER ARA,OCA
FISTS,FISTS,OCA
FLORIDA CONTEST GROUP,FLORIDA CONTEST GROUP,OCA
FRANKFORD RADIO CLUB,FRANKFORD RADIO CLUB,OCA
"FRC , FRANKFORD RADIO CLUB",FRANKFORD RADIO CLUB,OCA
FRESNO AMATEUR RADIO CLUB,FRESNO AMATEUR RADIO CLUB,CA
FRESNO QCWA CHAPTER 213,FRESNO QCWA CHAPTER 213,CA
GARS,GWINNETT AMATEUR RADIO SOCIETY,OCA
GWINNETT AMATEUR RADIO SOCIETY,GWINNETT AMATEUR RADIO SOCIETY,OCA
